release_date, company, model, number_of_comments, capacity, NAND, interface, form_factor, DRAM, read_performance, write_performance, 4K_read, 4K_write, persistent_write, maximum_temperature, environment,MSRP
23.01,GIGABYTE,AORUS_Gen4_5000E,0,1TB,TLC(176),PCIe_4.0(x4),M.2_2280,-,5'072.1,4'662.7,89.42,416.37,3/5,42,V_2.2,40
22.11,CORSAIR,MP600_PRO_NH,0,8TB,TLC(112),PCIe_4.0(x4),M.2_2280,1024,7'058.9,6'082.6,67.81,416.72,1/5,83,V_2.0,1200
22.1,KLEVV,S1_Portable,0,1TB,-,USB_3.2_Gen2x2,Exterior_Type,-,1'993.7,1'992.2,81.11,24.48,0/5,-,V_2.1,100
22.1,CORSAIR,MP600_PRO_XT,0,8TB,TLC(112),PCIe_4.0(x4),M.2_2280,1024,7'058.9,6'082.6,67.81,416.72,1/5,64,V_2.0,1250
22.1,CORSAIR,EX100U_Portable,0,2TB,-,USB_3.2_Gen2x2,Exterior_Type,-,1'652.3,1'570.0,27,81.82,0/5,36,V_2.2,170
22.08,Samsung,MOSAIC,1,1TB,-,USB_3.2_Gen1,Exterior_Type,-,140.1,138.4,0.54,1.41,0/5,-,V_2.2,80
22.06,Micronics,WARP_GX4_Heatsink,2,1TB,TLC(176),PCIe_4.0(x4),M.2_2280,1024,7'138.9,6'451.6,98.86,340.54,1/5,64,V_2.0,100
22.06,ADATA,LEGEND_840,0,1TB,TLC(176),PCIe_4.0(x4),M.2_2280,-,5'039.6,4'889.4,96.45,365.12,1/5,72,V_2.0,60
22.06,ADATA,LEGEND_710,0,1TB,QLC,PCIe_3.0(x4),M.2_2280,-,2'691.1,2'056.4,63.15,209.31,1/5,56,V_2.0,60
22.06,ADATA,LEGEND_710,0,512GB,TLC(96),PCIe_3.0(x4),M.2_2280,-,2'459.1,1'021.6,52,207.51,1/5,55,V_2.0,30
22.05,SKHynix,Platinum_P41,0,2TB,TLC(176),PCIe_4.0(x4),M.2_2280,2048,7'160.7,6'678.6,92.28,392.23,4/5,84,V_2.2,160
22.05,Samsung,Potable_SSD_T7_Shield,6,1TB,-,USB_3.2_Gen2,Exterior_Type,-,1'059.4,989.9,30.21,64.21,0/5,-,V_2.0,110
22.05,KLEVV,R1_Portable,0,1TB,TLC(96),USB_3.2_Gen2,Exterior_Type,-,1'062.0,1'038.3,36.37,64.24,0/5,45,V_2.0,100
22.05,KLEVV,R1_Portable,0,500GB,TLC,USB_3.2_Gen2,Exterior_Type,-,1'023.4,961.3,38.18,69.94,0/5,-,V_1.0,30
22.05,SKHynix,Platinum_P41,59,1TB,TLC(176),PCIe_4.0(x4),M.2_2280,1024,7'142.7,6'515.1,93.14,423.69,3/5,80,V_2.0,90
22.04,Seagate,Beskar_Ingot_Drive_Special_Edition,0,2TB,-,USB_3.2_Gen1,Exterior_Type,-,136.8,136.3,0.48,1.71,0/5,-,V_2.0,120
22.03,Seagate,One_Touch_Hub,0,18TB,-,USB_3.2_Gen1,Exterior_Type,-,269,252.2,0.83,16.75,0/5,-,V_2.0,500
22.03,Seagate,FireCuda_HDD,0,8TB,-,SATA(6_Gbps),3.5Form,-,261.9,256,0.82,18.38,0/5,-,V_2.0,370
22.02,CORSAIR,MP600_PRO_LPX,0,2TB,TLC(176),PCIe_4.0(x4),M.2_2280,2048,7'047.1,6'821.3,92.76,445.29,3/5,54,V_2.0,120
22.02,BIOSTAR,M720,0,256GB,TLC,PCIe_3.0(x4),M.2_2280,-,3'367.3,1'332.2,52.52,240.22,1/5,51,V_2.0,30
21.12,Seagate,IronWolf_Pro,4,20TB,-,SATA(6_Gbps),3.5Form,-,284.1,282.6,0.92,2.88,0/5,31,V_2.0,610
21.12,Seagate,Game_Drive_for_Xbox,0,5TB,-,USB_3.2_Gen1,Exterior_Type,-,150.8,143.5,0.48,5.03,0/5,-,V_1.0,390
21.11,ADATA,XPG_GAMMIX_S70_BLADE,1,1TB,TLC,PCIe_4.0(x4),M.2_2280,1024,7'459.8,5'772.3,74.44,261.15,1/5,50,V_1.0,280
21.11,Seagate,Fast_Expansion_RecoverData,0,2TB,-,USB_3.2_Gen2,Exterior_Type,-,1'042.1,1'008.3,40.72,81.79,0/5,-,V_2.0,310
21.11,KLEVV,CRAS_C720,0,2TB,TLC(96),PCIe_3.0(x4),M.2_2280,4096,3'454.8,3'029.8,57.64,257.17,4/5,62,V_1.0,200
21.11,KLEVV,CRAS_C720,0,1TB,TLC(96),PCIe_3.0(x4),M.2_2280,2048,3'453.8,3'116.5,59.56,260.59,4/5,63,V_1.0,120
21.1,Seagate,FireCuda_Gaming_Hub,0,8TB,-,USB_3.2_Gen1,Exterior_Type,-,210.2,192.7,0.65,0.85,0/5,-,V_2.0,220
21.1,PNY,CS2140_Gen4,0,2TB,TLC(176),PCIe_4.0(x4),M.2_2280,-,3'410.9,3'191.1,68.3,402.33,3/5,56,V_2.2,100
21.1,Samsung,980_PRO_Heatsink,3,1TB,TLC(128),PCIe_4.0(x4),M.2_2280,1024,6'850.6,4'941.4,92.61,290.07,5/5,81,V_2.0,190
21.09,Micron,Crucial_MX500,12,4TB,TLC(176),SATA(6_Gbps),2.5Form,512,530.7,470.7,36.68,95.57,4/5,-,V_1.0,260
